C (MLE),N_C,C*
1,667192,0.3318
2,110688,1.208
3,44571,2.1982
4,24494,3.1336
5,15351,4.1857
6,10709,5.1031
7,7807,6.0848
8,5938,7.1645
9,4727,7.9903
10,3777,9.2788
11,3186,10.1055
12,2683,11.0037
13,2271,11.6759
14,1894,12.9805
15,1639,14.7114
16,1507,14.7664
17,1309,15.6898
18,1141,17.1017
19,1027,19.5716
20,1005,17.0925
21,818,20.3325
22,756,21.8439
23,718,22.429
24,671,22.2802
25,598,24.4783
26,563,22.2043
27,463,27.9395
28,462,27.1169
29,432,28.3333
30,408,28.2647
31,372,31.7419
32,369,32.8211
33,367,27.7929
34,300,35.5833
35,305,36.9443
36,313,32.508
37,275,29.5709
38,214,41.9159
39,230,38.087
40,219,42.3105
41,226,39.7699
42,214,39.3832
43,196,40.6327
44,181,40.5249
45,163,45.4356
46,161,42.6211
47,146,52.6027
48,160,47.775
49,156,46.1538
50,144,48.5208
51,137,48.2044
52,127,42.5669
53,102,73.0588
54,138,49.4203
55,124,47.4194
56,105,52.6571
57,97,58.0
58,97,60.8247
59,100,61.8
60,103,62.1845
61,105,48.419
62,82,56.8537
63,74,69.1892
64,80,69.0625
65,85,63.6706
66,82,62.9146
67,77,56.5195
68,64,77.625
69,72,55.4167
70,57,77.2281
71,62,60.3871
72,52,103.8846
73,74,63.0
74,63,69.0476
75,58,70.7586
76,54,75.5741
77,53,79.4717
78,54,65.8333
79,45,88.8889
80,50,85.86
81,53,66.5283
82,43,94.5814
83,49,70.2857
84,41,58.0488
85,28,144.3571
86,47,96.2553
87,52,66.0
88,39,104.9744
89,46,86.087
90,44,70.3182
91,34,127.1765
92,47,77.1702
93,39,103.641
94,43,97.2093
95,44,74.1818
96,34,79.8824
97,28,112.0
98,32,105.1875
99,34,88.2353
100,30,94.2667
