C (MLE),N_C,C*
1,2449618,0.0824
2,100895,0.804
3,27039,1.7149
4,11592,2.7403
5,6353,3.7589
6,3980,4.5078
7,2563,5.7932
8,1856,6.813
9,1405,8.242
10,1158,8.4257
11,887,10.133
12,749,10.1709
13,586,11.2048
14,469,13.5928
15,425,12.6871
16,337,14.3264
17,284,19.2676
18,304,13.625
19,218,20.9174
20,228,17.0395
21,185,18.4324
22,155,25.2258
23,170,19.7647
24,140,21.9643
25,123,18.3902
26,87,28.2414
27,91,25.5385
28,83,32.8434
29,94,25.2128
30,79,24.3291
31,62,35.6129
32,69,32.0435
33,67,27.403
34,54,29.8148
35,46,36.0
36,46,36.1957
37,45,39.6889
38,47,32.3617
39,39,35.8974
40,35,59.7429
41,51,42.8235
42,52,33.0769
43,40,37.4
44,34,31.7647
45,24,36.4167
46,19,42.0526
47,17,70.5882
48,25,47.04
49,24,68.75
50,33,37.0909
51,24,45.5
52,21,50.4762
53,20,59.4
54,22,57.5
55,23,48.6957
56,20,39.9
57,14,107.7143
58,26,47.6538
59,21,42.8571
60,15,56.9333
61,14,35.4286
62,8,110.25
63,14,54.8571
64,12,70.4167
65,13,50.7692
66,10,60.3
67,9,75.5556
68,10,89.7
69,13,80.7692
70,15,42.6
71,9,56.0
72,7,104.2857
73,10,59.2
74,8,75.0
75,8,85.5
76,9,51.3333
77,6,130.0
78,10,39.5
79,5,128.0
80,8,81.0
81,8,41.0
82,4,124.5
83,6,112.0
84,8,74.375
85,7,110.5714
86,9,48.3333
87,5,105.6
88,6,103.8333
89,7,77.1429
90,6,91.0
91,6,76.6667
92,5,111.6
93,6,47.0
94,3,126.6667
95,4,48.0
96,2,242.5
97,5,58.8
98,3,132.0
99,4,75.0
100,3,67.3333
